CODSEC;RBS;PNC;POB
3900101001;0;0;990
3900101002;0;0;900
3900101003;0;0;595
3900201001;1;0;2475
3900201002;0;0;1185
3900201003;0;0;595
3900301001;0;0;350
3900401001;0;0;965
3900401002;0;0;830
3900501001;0;0;1700
3900601001;0;0;965
3900601002;0;0;1155
3900701001;0;0;520
3900801001;0;0;1100
3900801002;0;0;965
3900801003;0;0;1625
3900801004;0;0;1315
3900801005;0;0;1610
3900801006;0;0;3405
3900801007;0;0;790
3900801008;1;0;960
3900802001;1;0;1495
3900802002;0;0;1580
3900802003;0;0;1765
3900802004;1;0;1200
3900901001;0;0;1525
3900901002;0;0;1270
3900901003;0;0;1310
3901001001;0;0;765
3901101001;0;0;2065
3901201001;0;0;1430
3901201002;0;0;1320
3901201003;0;0;1490
3901201004;0;0;1470
3901202001;0;0;1050
3901202002;0;0;1385
3901301001;0;0;705
3901401001;0;0;1035
3901501001;0;0;1030
3901601001;0;0;945
3901601002;1;0;1875
3901601003;0;0;1670
3901601004;0;0;2100
3901601005;1;0;2720
3901601006;0;0;750
3901601007;0;0;805
3901601008;0;0;2205
3901601009;1;0;1670
3901601010;1;0;695
3901601011;0;0;1305
3901601012;1;0;995
3901601013;2;0;1430
3901601014;0;0;1740
3901601015;0;0;765
3901602001;1;0;1505
3901602002;0;0;950
3901602003;1;0;2390
3901603001;0;0;1625
3901603002;0;0;1235
3901603003;0;0;2065
3901701001;0;0;690
3901801001;0;0;1165
3901801002;0;0;865
3901801003;0;0;2040
3901801004;0;0;1460
3901901001;0;0;2525
3902001001;1;0;1245
3902001002;0;0;1260
3902001003;0;0;2110
3902002001;0;0;1040
3902002002;0;0;2205
3902002003;0;0;1825
3902002004;0;0;2590
3902002005;0;0;1525
3902002006;0;0;1530
3902002007;0;0;2680
3902002008;0;0;1060
3902002009;0;0;1315
3902002010;0;0;1405
3902002011;0;0;1140
3902002012;0;0;2030
3902002013;0;0;1040
3902003001;2;0;1190
3902003002;0;0;2230
3902003003;0;0;570
3902003004;0;0;1560
3902003005;0;0;675
3902101001;0;0;600
3902201001;0;0;1340
3902301001;1;0;1965
3902301002;2;0;1095
3902301003;0;0;2795
3902301004;0;0;2255
3902401001;0;0;640
3902401002;0;0;1695
3902501001;0;0;1070
3902501002;0;0;1725
3902501003;0;0;1000
3902501004;0;0;1590
3902501005;0;0;1145
3902501006;0;0;1125
3902501007;0;0;1950
3902501008;0;0;800
3902502001;0;0;1055
3902601001;0;0;825
3902601002;0;0;1320
3902701001;0;0;780
