COD_SECC_2011;viv<30m % ;Promedio de Super/habi;Aseo 2011 % ;Anteriores 1951 % ;ALQUIL_CES;SIN_CALEFA
3900101001;0,0000000;0,0172464;0,0000000;50,6491755;11,0870884;15,1563753
3900101002;0,0000000;0,0193926;0,0000000;40,0830196;2,1540882;9,1095321
3900101003;0,0000000;0,0173367;0,0000000;37,0434573;7,5014544;11,2777547
3900201001;0,0000000;0,0202745;0,0000000;12,2835916;13,5317601;1,8204838
3900201002;0,0000000;0,0200840;7,4631395;42,1665875;6,4085435;11,3818759
3900201003;0,0000000;0,0183830;0,0000000;30,4851547;1,6663527;3,1463365
3900301001;0,0000000;0,0210882;2,5979524;79,8635297;8,5066027;20,0779367
3900401001;0,0000000;0,0193868;1,2731239;67,6294651;3,6476772;21,9729501
3900401002;0,0000000;0,0236808;0,0000000;68,0718089;2,4144252;16,2092539
3900501001;0,0000000;0,0189635;0,0000000;6,8972350;6,6631419;2,6531873
3900601001;0,0000000;0,0173886;1,8434240;16,5232405;2,6100971;7,9159740
3900601002;0,0000000;0,0169920;5,1764941;24,8057271;11,2023819;5,5299922
3900701001;0,0000000;0,0189163;6,0591374;48,9660889;5,9928160;15,6979724
3900801001;0,0000000;0,0231475;0,0000000;4,2680951;10,5022874;11,5954819
3900801002;0,0000000;0,0231348;0,0000000;11,5515885;6,3060016;3,4009926
3900801003;0,0000000;0,0225439;0,0000000;1,5938316;3,9733714;2,0003987
3900801004;0,0000000;0,0259948;0,0000000;0,0000000;18,8743398;5,6639311
3900801005;0,0000000;0,0265384;0,0000000;3,5504350;2,8664492;0,0000000
3900801006;0,0000000;0,0238682;0,0000000;14,5712518;4,3725826;2,3173233
3900801007;0,0000000;0,0234735;0,0000000;4,4416172;2,0999916;0,0000000
3900801008;0,0000000;0,0270755;0,0000000;0,0000000;3,9187969;0,0000000
3900802001;0,0000000;0,0227998;0,0000000;23,0003950;7,5053970;0,0000000
3900802002;0,0000000;0,0253479;0,0000000;15,9219119;21,8436122;4,6533113
3900802003;0,0000000;0,0236157;0,0000000;0,0000000;9,6887950;2,9371130
3900802004;0,0000000;0,0229970;0,0000000;2,0982040;35,1504093;2,0982040
3900901001;0,0000000;0,0169059;0,0000000;25,2985692;11,8053293;1,2400162
3900901002;0,0000000;0,0201301;0,0000000;5,6358740;2,6317875;1,7421389
3900901003;0,0000000;0,0190124;3,6076084;1,7754609;0,7823583;1,3744457
3901001001;0,0000000;0,0159674;1,3584165;54,0151402;8,7823809;1,8135047
3901101001;0,7336168;0,0162319;0,8685941;33,6160691;6,3991485;4,4555352
3901201001;0,0000000;0,0198757;0,0000000;21,8954848;14,1454541;6,6003458
3901201002;0,0000000;0,0216665;0,0000000;16,2056330;37,6161321;10,2931588
3901201003;0,0000000;0,0227330;1,6927249;1,2839930;9,7365566;7,7230456
3901201004;0,0000000;0,0221196;0,0000000;8,9136120;3,0968480;6,5264383
3901202001;0,0000000;0,0204933;2,0125730;13,9458070;7,8580188;7,5296832
3901202002;0,0000000;0,0212538;1,5939339;37,1987960;8,1024980;1,5939339
3901301001;0,0000000;0,0141465;3,1601417;47,9967680;29,3078990;18,8531193
3901401001;1,2061368;0,0121195;2,4510030;75,8218604;3,9144624;13,6983238
3901501001;0,0000000;0,0150550;2,0545328;25,9258923;5,0090596;14,1456872
3901601001;0,0000000;0,0181544;0,0000000;52,8023669;19,6146612;0,0000000
3901601002;0,0000000;0,0225275;1,8945133;1,8945133;10,9358429;3,1802767
3901601003;0,0000000;0,0271774;0,0000000;0,0000000;8,3904333;1,6117647
3901601004;0,0000000;0,0227066;0,0000000;9,6889755;14,7609774;3,8159122
3901601005;0,0000000;0,0243797;2,9791250;2,3577924;12,5236684;2,3780039
3901601006;0,0000000;0,0255170;0,0000000;0,0000000;3,7736649;5,0869902
3901601007;0,0000000;0,0199250;4,6427081;8,3545541;0,0000000;9,3686240
3901601008;0,0000000;0,0243984;0,0000000;0,0000000;19,9240258;6,1949528
3901601009;0,0000000;0,0277609;0,0000000;3,2301176;18,2619484;8,8519957
3901601010;0,0000000;0,0315633;0,0000000;0,0000000;12,5712414;14,5474991
3901601011;3,0402303;0,0240866;3,0402303;25,1382639;5,9368778;3,0402303
3901601012;0,0000000;0,0272229;0,0000000;0,0000000;32,1494458;10,8840636
3901601013;0,0000000;0,0253618;0,0000000;0,0000000;2,8102304;0,0000000
3901601014;0,0000000;0,0268779;0,0000000;0,0000000;25,7349170;2,5691949
3901601015;0,0000000;0,0130178;0,0000000;4,1968444;0,0000000;0,0000000
3901602001;0,0000000;0,0181087;0,0000000;26,6347958;8,7831002;2,0071485
3901602002;0,0000000;0,0212042;0,0000000;11,0540644;0,0000000;0,0000000
3901602003;0,0000000;0,0205547;0,0000000;3,3637608;5,8909845;1,8158998
3901603001;0,0000000;0,0217267;0,0000000;29,8248114;2,4305776;4,3551104
3901603002;0,0000000;0,0213967;0,0000000;34,7202887;3,1737824;6,0155203
3901603003;0,0000000;0,0165384;0,0000000;16,5139777;15,9495402;3,0704597
3901701001;0,0000000;0,0146719;5,5498748;67,8787240;10,3302087;11,2100734
3901801001;0,0000000;0,0258343;0,0000000;11,8714192;10,9414821;5,6675339
3901801002;2,0653686;0,0185351;3,7982617;31,8639349;11,2856984;13,4885652
3901801003;0,0000000;0,0273804;0,8622204;4,4893817;6,5451907;1,0921449
3901801004;0,0000000;0,0289690;0,0000000;1,9317604;1,9676708;1,2971061
3901901001;0,0000000;0,0210079;0,0000000;8,7940375;10,2279495;3,3697412
3902001001;0,0000000;0,0262009;0,0000000;45,6649057;25,0702541;11,7661472
3902001002;0,0000000;0,0223238;0,0000000;1,8374826;22,5624492;5,0845034
3902001003;0,0000000;0,0237125;0,0000000;5,1205798;25,1456113;1,3537532
3902002001;0,0000000;0,0203224;3,2894947;14,2411766;16,6657480;0,0000000
3902002002;0,0000000;0,0197952;0,0000000;39,6009535;40,7102673;7,5990036
3902002003;0,0000000;0,0267630;0,0000000;0,0000000;11,7342492;0,0000000
3902002004;0,0000000;0,0202832;0,0000000;0,0000000;5,0459013;6,8160863
3902002005;0,0000000;0,0219058;0,0000000;5,2693228;9,3317297;0,0000000
3902002006;0,0000000;0,0240599;0,0000000;0,0000000;7,0533413;0,0000000
3902002007;0,0000000;0,0228966;0,0000000;0,0000000;10,9685828;1,2854133
3902002008;0,0000000;0,0224798;0,0000000;0,0000000;6,7445328;0,0000000
3902002009;0,0000000;0,0247985;0,0000000;0,0000000;17,8250598;0,0000000
3902002010;0,0000000;0,0234862;4,6623806;8,9672842;15,3077456;2,1167397
3902002011;0,0000000;0,0222382;4,4907887;0,0000000;0,0000000;0,0000000
3902002012;0,0000000;0,0193171;0,0000000;0,0000000;17,1594975;0,0000000
3902002013;0,0000000;0,0275838;4,9122774;0,0000000;6,5597843;3,2538205
3902003001;0,0000000;0,0197340;0,0000000;46,9709123;7,6375711;7,6375711
3902003002;0,0000000;0,0182024;1,8153848;16,2318970;0,0000000;3,0125764
3902003003;0,0000000;0,0169851;0,0000000;39,6813979;0,0000000;0,0000000
3902003004;0,0000000;0,0142741;0,0000000;31,9274368;8,0556239;4,2639891
3902003005;0,0000000;0,0133869;0,0000000;55,0415187;0,0000000;3,2774664
3902101001;0,0000000;0,0191740;1,9216271;72,0410180;2,2932431;21,0956000
3902201001;0,0000000;0,0157347;2,8240586;18,2342968;20,2347963;17,2076907
3902301001;0,0000000;0,0230569;0,0000000;5,8745966;12,2830604;1,8422164
3902301002;0,0000000;0,0324200;2,5851634;0,0000000;6,8381237;8,6198485
3902301003;0,0000000;0,0257355;1,1723680;0,0000000;22,8233737;0,0000000
3902301004;1,7258035;0,0247170;1,8358940;19,9648111;16,4052884;2,4405084
3902401001;0,0000000;0,0181239;0,0000000;28,4762595;20,9049705;0,0000000
3902401002;0,0000000;0,0183574;0,0000000;58,7858153;15,2262677;9,6515500
3902501001;0,0000000;0,0263349;0,0000000;4,7780055;2,3997759;2,3997759
3902501002;0,0000000;0,0247304;0,0000000;27,9952077;7,5203934;5,3645657
3902501003;0,0000000;0,0223725;2,5152531;28,0481215;0,0000000;15,2166233
3902501004;0,0000000;0,0240814;1,5076414;7,9480673;5,7139952;1,3104622
3902501005;0,0000000;0,0265561;0,0000000;13,4325544;0,0000000;13,6264296
3902501006;0,0000000;0,0231650;0,0000000;7,0740312;6,5313632;8,8708322
3902501007;0,0000000;0,0279593;0,0000000;0,0000000;11,1434448;2,2860564
3902501008;0,0000000;0,0171099;0,0000000;8,9244008;2,8354634;2,1121525
3902502001;0,0000000;0,0214731;0,0000000;65,8847023;10,3785634;12,5741264
3902601001;0,0000000;0,0223412;1,8822841;23,8994881;17,1878998;3,4583194
3902601002;0,0000000;0,0190118;2,3440371;43,0684585;2,2203849;12,6898504
3902701001;0,0000000;0,0245806;2,0558787;9,4032364;6,7913858;5,2619719
3902701002;0,0000000;0,0190773;4,3197468;75,6694324;11,0065107;7,5016227
3902701003;0,0000000;0,0222683;0,0000000;17,1283348;3,9407497;3,5579464
3902701004;0,0000000;0,0168412;0,0000000;18,0659489;12,4741784;1,5223613
3902801001;0,0000000;0,0182260;0,0000000;20,5531464;16,4551122;5,1965355
3902801002;0,0000000;0,0205433;0,0000000;24,6384890;8,5452041;2,3657226
3902801003;0,0000000;0,0229541;0,0000000;1,2070802;5,4660999;0,0000000
3902901001;1,9337393;0,0173379;0,7139226;17,7051228;14,8622469;10,0450389
3903001001;0,0000000;0,0151547;2,6456550;23,7829629;11,7132342;4,2230905
3903001002;0,0000000;0,0174640;4,5418004;26,0749099;0,0000000;13,5234334
3903101001;0,0000000;0,0190081;0,0000000;24,3170636;7,0213225;5,4700300
3903201001;3,3191429;0,0163404;4,7695926;83,6794004;14,2913134;14,0770689
3903201002;0,0000000;0,0175738;1,6535463;80,7126788;5,3506615;12,8072417
3903301001;0,0000000;0,0168911;0,0000000;51,1122981;6,1526515;20,0085533
3903401001;0,0000000;0,0169894;1,2208520;78,4377434;4,8148767;25,0439336
3903501001;0,0000000;0,0256057;0,0000000;37,9970426;10,0744007;9,1820631
3903501002;2,5553781;0,0288743;0,0000000;12,4049120;12,5050720;2,0346635
3903501003;0,0000000;0,0275829;2,4106886;30,6547165;23,9415056;8,8374993
3903502001;0,0000000;0,0231939;0,0000000;0,0000000;19,0756435;12,3520563
3903502002;0,0000000;0,0178150;0,0000000;0,0000000;8,6091817;2,7585285
3903502003;0,0000000;0,0283212;2,7865349;0,0000000;5,1878580;0,0000000
3903502004;0,0000000;0,0167668;0,0000000;3,9350563;18,8256901;0,0000000
3903502005;0,0000000;0,0229538;4,1365890;0,0000000;5,3234972;4,0330027
