"","ccaa","cpro","cmun","secc","CUMUN","CUSEC","Indice"
"27956",6,39,75,1,39075,3907501001,1.34499212105863
"27957",6,39,75,2,39075,3907501002,0.475682342174951
"27958",6,39,75,3,39075,3907501003,-0.0594509771807609
"27959",6,39,75,4,39075,3907501004,-0.851852480878962
"27960",6,39,75,5,39075,3907501005,1.48889919974435
"27961",6,39,75,6,39075,3907501006,-1.11762555533875
"27962",6,39,75,7,39075,3907501007,-1.77808110429854
"27963",6,39,75,8,39075,3907501008,2.79928364269301
"27964",6,39,75,9,39075,3907501009,-1.5986546898041
"27965",6,39,75,10,39075,3907501010,-0.155461740090334
"27966",6,39,75,11,39075,3907501011,1.1635585297266
"27967",6,39,75,1,39075,3907502001,-2.29527950386874
"27968",6,39,75,2,39075,3907502002,2.00942133157316
"27969",6,39,75,3,39075,3907502003,-0.129024230966872
"27970",6,39,75,4,39075,3907502004,-0.677077507857986
"27971",6,39,75,5,39075,3907502005,-0.791685436839094
"27972",6,39,75,6,39075,3907502006,-2.72293865331593
"27973",6,39,75,7,39075,3907502007,0.320403713093612
"27974",6,39,75,8,39075,3907502008,0.557651430347706
"27975",6,39,75,9,39075,3907502009,1.08872068556099
"27976",6,39,75,10,39075,3907502010,1.53789016635836
"27977",6,39,75,11,39075,3907502011,-2.45986832633214
"27978",6,39,75,12,39075,3907502012,-1.06043793530578
"27979",6,39,75,13,39075,3907502013,-0.380518548533862
"27980",6,39,75,14,39075,3907502014,-1.06595110622152
"27981",6,39,75,15,39075,3907502015,-2.10209471792085
"27982",6,39,75,16,39075,3907502016,-2.81918142460553
"27983",6,39,75,17,39075,3907502017,0.12319348423171
"27984",6,39,75,18,39075,3907502018,-0.695268286393647
"27985",6,39,75,19,39075,3907502019,-0.225796509847194
"27986",6,39,75,20,39075,3907502020,-2.45644894640413
"27987",6,39,75,21,39075,3907502021,-0.145909318370821
"27988",6,39,75,22,39075,3907502022,0.904912259656982
"27989",6,39,75,23,39075,3907502023,0.83120035497343
"27990",6,39,75,24,39075,3907502024,0.448005320075477
"27991",6,39,75,25,39075,3907502025,-0.0920330598998329
"27992",6,39,75,26,39075,3907502026,-2.5846102941932
"27993",6,39,75,27,39075,3907502027,-0.036497553159699
"27994",6,39,75,1,39075,3907503001,-1.40665871803167
"27995",6,39,75,2,39075,3907503002,0.0812529431234445
"27996",6,39,75,3,39075,3907503003,0.129192590367241
"27997",6,39,75,4,39075,3907503004,0.450313687121244
"27998",6,39,75,5,39075,3907503005,-0.261341535911544
"27999",6,39,75,6,39075,3907503006,-0.632682177945715
"28000",6,39,75,7,39075,3907503007,-0.384718011321234
"28001",6,39,75,8,39075,3907503008,-0.911482657230252
"28002",6,39,75,9,39075,3907503009,-1.82689420656622
"28003",6,39,75,10,39075,3907503010,-1.32795087060375
"28004",6,39,75,11,39075,3907503011,-1.34631008405015
"28005",6,39,75,12,39075,3907503012,-0.176496883668471
