"","ccaa","cpro","cmun","secc","CUMUN","CUSEC","Indice"
"27732",6,39,1,1,39001,3900101001,0.2190541343616
"27733",6,39,1,2,39001,3900101002,-0.542211478331754
"27734",6,39,1,3,39001,3900101003,1.55139275705409
"27735",6,39,2,1,39002,3900201001,-0.179040445088745
"27736",6,39,2,2,39002,3900201002,0.0416804211263857
"27737",6,39,2,3,39002,3900201003,-0.408077252036675
"27738",6,39,3,1,39003,3900301001,0.802110271419003
"27739",6,39,4,1,39004,3900401001,1.28937104874274
"27740",6,39,4,2,39004,3900401002,1.08023509569236
"27741",6,39,5,1,39005,3900501001,-0.86779588667127
"27742",6,39,6,1,39006,3900601001,0.108087312430638
"27743",6,39,6,2,39006,3900601002,0.30442447442798
"27744",6,39,7,1,39007,3900701001,1.07288080529758
"27745",6,39,8,1,39008,3900801001,-0.397643515513443
"27746",6,39,8,2,39008,3900801002,0.514410335984581
"27747",6,39,8,3,39008,3900801003,-0.142026022869811
"27748",6,39,8,4,39008,3900801004,0.3998747020626
"27749",6,39,8,5,39008,3900801005,-2.36197294840303
"27750",6,39,8,6,39008,3900801006,-1.57418436747308
"27751",6,39,8,7,39008,3900801007,0.0637570721111808
"27752",6,39,8,8,39008,3900801008,-1.20509237852463
"27753",6,39,8,1,39008,3900802001,0.56274656801551
"27754",6,39,8,2,39008,3900802002,-0.0669006704061984
"27755",6,39,8,3,39008,3900802003,-0.572555242767867
"27756",6,39,8,4,39008,3900802004,-1.43657424497832
"27757",6,39,9,1,39009,3900901001,-0.131081406707202
"27758",6,39,9,2,39009,3900901002,-0.384910656109721
"27759",6,39,9,3,39009,3900901003,-0.86460847938444
"27760",6,39,10,1,39010,3901001001,0.973188485369489
"27761",6,39,11,1,39011,3901101001,0.0656419429796793
"27762",6,39,12,1,39012,3901201001,-0.316208840705163
"27763",6,39,12,2,39012,3901201002,-1.37671056101894
"27764",6,39,12,3,39012,3901201003,-2.47982059478649
"27765",6,39,12,4,39012,3901201004,-1.12280978512223
"27766",6,39,12,1,39012,3901202001,-1.64185193664443
"27767",6,39,12,2,39012,3901202002,-1.00946101223656
"27768",6,39,13,1,39013,3901301001,1.10119976219075
"27769",6,39,14,1,39014,3901401001,0.852957571931492
"27770",6,39,15,1,39015,3901501001,1.66735571687993
"27771",6,39,16,1,39016,3901601001,0.78147615552284
"27772",6,39,16,2,39016,3901601002,-1.22971975069708
"27773",6,39,16,3,39016,3901601003,0.268059280859351
"27774",6,39,16,4,39016,3901601004,0.230287038157674
"27775",6,39,16,5,39016,3901601005,-1.96887115902622
"27776",6,39,16,6,39016,3901601006,-1.60508194547689
"27777",6,39,16,7,39016,3901601007,-0.521396362368691
"27778",6,39,16,8,39016,3901601008,-0.388940616000444
"27779",6,39,16,9,39016,3901601009,0.0849994260511931
"27780",6,39,16,10,39016,3901601010,-0.245670157367682
"27781",6,39,16,11,39016,3901601011,-0.275023829388979
"27782",6,39,16,12,39016,3901601012,-1.58549733808733
"27783",6,39,16,13,39016,3901601013,-2.54242900140772
"27784",6,39,16,14,39016,3901601014,-2.15681569233312
"27785",6,39,16,15,39016,3901601015,-0.399731553031621
"27786",6,39,16,1,39016,3901602001,-1.61425603914134
"27787",6,39,16,2,39016,3901602002,-1.18693804236562
"27788",6,39,16,3,39016,3901602003,-1.70358472973983
"27789",6,39,16,1,39016,3901603001,-0.695670761761871
"27790",6,39,16,2,39016,3901603002,-2.24917565517657
"27791",6,39,16,3,39016,3901603003,-1.29361552492793
