"","ccaa","cpro","cmun","secc","CUMUN","CUSEC","Indice"
"27732",6,39,1,1,39001,3900101001,10.4
"27733",6,39,1,2,39001,3900101002,6.7
"27734",6,39,1,3,39001,3900101003,7.8
"27735",6,39,2,1,39002,3900201001,8.9
"27736",6,39,2,2,39002,3900201002,9.4
"27737",6,39,2,3,39002,3900201003,7.5
"27738",6,39,3,1,39003,3900301001,8.6
"27739",6,39,4,1,39004,3900401001,6.6
"27740",6,39,4,2,39004,3900401002,6.9
"27741",6,39,5,1,39005,3900501001,6.6
"27742",6,39,6,1,39006,3900601001,9.8
"27743",6,39,6,2,39006,3900601002,9.3
"27744",6,39,7,1,39007,3900701001,8.1
"27745",6,39,8,1,39008,3900801001,7.6
"27746",6,39,8,2,39008,3900801002,6.7
"27747",6,39,8,3,39008,3900801003,4.7
"27748",6,39,8,4,39008,3900801004,9.5
"27749",6,39,8,5,39008,3900801005,7.5
"27750",6,39,8,6,39008,3900801006,7
"27751",6,39,8,7,39008,3900801007,7.3
"27752",6,39,8,8,39008,3900801008,5.9
"27753",6,39,8,1,39008,3900802001,11.5
"27754",6,39,8,2,39008,3900802002,8.6
"27755",6,39,8,3,39008,3900802003,6.6
"27756",6,39,8,4,39008,3900802004,7.7
"27757",6,39,9,1,39009,3900901001,11.3
"27758",6,39,9,2,39009,3900901002,7.9
"27759",6,39,9,3,39009,3900901003,11.1
"27760",6,39,10,1,39010,3901001001,8.9
"27761",6,39,11,1,39011,3901101001,9.5
"27762",6,39,12,1,39012,3901201001,9.5
"27763",6,39,12,2,39012,3901201002,11.8
"27764",6,39,12,3,39012,3901201003,10
"27765",6,39,12,4,39012,3901201004,9.3
"27766",6,39,12,1,39012,3901202001,6.3
"27767",6,39,12,2,39012,3901202002,6.5
"27768",6,39,13,1,39013,3901301001,10.6
"27769",6,39,14,1,39014,3901401001,6.5
"27770",6,39,15,1,39015,3901501001,6.6
"27771",6,39,16,1,39016,3901601001,5.7
"27772",6,39,16,2,39016,3901601002,4.7
"27773",6,39,16,3,39016,3901601003,7
"27774",6,39,16,4,39016,3901601004,5.2
"27775",6,39,16,5,39016,3901601005,4.5
"27776",6,39,16,6,39016,3901601006,5.4
"27777",6,39,16,7,39016,3901601007,5.8
"27778",6,39,16,8,39016,3901601008,3.4
"27779",6,39,16,9,39016,3901601009,10.3
"27780",6,39,16,10,39016,3901601010,4.8
"27781",6,39,16,11,39016,3901601011,8.8
"27782",6,39,16,12,39016,3901601012,8.1
"27783",6,39,16,13,39016,3901601013,5.3
"27784",6,39,16,14,39016,3901601014,10.9
"27785",6,39,16,15,39016,3901601015,7.5
"27786",6,39,16,1,39016,3901602001,7.6
"27787",6,39,16,2,39016,3901602002,7.3
"27788",6,39,16,3,39016,3901602003,9.6
"27789",6,39,16,1,39016,3901603001,6.9
"27790",6,39,16,2,39016,3901603002,5
"27791",6,39,16,3,39016,3901603003,4.7
"27792",6,39,17,1,39017,3901701001,5.9
"27793",6,39,18,1,39018,3901801001,5.8
"27794",6,39,18,2,39018,3901801002,4.1
"27795",6,39,18,3,39018,3901801003,6.5
"27796",6,39,18,4,39018,3901801004,5.9
"27797",6,39,19,1,39019,3901901001,8.098745461
"27798",6,39,20,1,39020,3902001001,5.9
"27799",6,39,20,2,39020,3902001002,8.9
"27800",6,39,20,3,39020,3902001003,7.8
"27801",6,39,20,1,39020,3902002001,7.7
"27802",6,39,20,2,39020,3902002002,11.1
"27803",6,39,20,3,39020,3902002003,9
"27804",6,39,20,4,39020,3902002004,9.2
"27805",6,39,20,5,39020,3902002005,12.1
"27806",6,39,20,6,39020,3902002006,8.7
"27807",6,39,20,7,39020,3902002007,9.7
"27808",6,39,20,8,39020,3902002008,17
"27809",6,39,20,9,39020,3902002009,10.6
"27810",6,39,20,10,39020,3902002010,12.8
"27811",6,39,20,11,39020,3902002011,9.1
"27812",6,39,20,12,39020,3902002012,11.6
"27813",6,39,20,13,39020,3902002013,10
"27814",6,39,20,1,39020,3902003001,11.3
"27815",6,39,20,2,39020,3902003002,14.8
"27816",6,39,20,3,39020,3902003003,10.1
"27817",6,39,20,4,39020,3902003004,15.4
"27818",6,39,20,5,39020,3902003005,10.1
"27819",6,39,21,1,39021,3902101001,11.5
"27820",6,39,22,1,39022,3902201001,9.3
"27821",6,39,23,1,39023,3902301001,7.8
"27822",6,39,23,2,39023,3902301002,6.1
"27823",6,39,23,3,39023,3902301003,8.313914434
"27824",6,39,23,4,39023,3902301004,10.2
"27825",6,39,24,1,39024,3902401001,8.7
"27826",6,39,24,2,39024,3902401002,6.4
"27827",6,39,25,1,39025,3902501001,9.7
"27828",6,39,25,2,39025,3902501002,7.2
"27829",6,39,25,3,39025,3902501003,12
"27830",6,39,25,4,39025,3902501004,9.3
"27831",6,39,25,5,39025,3902501005,6.5
"27832",6,39,25,6,39025,3902501006,8.3
"27833",6,39,25,7,39025,3902501007,4.9
"27834",6,39,25,8,39025,3902501008,5.9
"27835",6,39,25,1,39025,3902502001,7.6
"27836",6,39,26,1,39026,3902601001,4.8
"27837",6,39,26,2,39026,3902601002,7.1
"27838",6,39,27,1,39027,3902701001,10
"27839",6,39,27,2,39027,3902701002,6.9
"27840",6,39,27,3,39027,3902701003,8.7
"27841",6,39,27,4,39027,3902701004,10.6
"27842",6,39,28,1,39028,3902801001,6.6
"27843",6,39,28,2,39028,3902801002,8
"27844",6,39,28,3,39028,3902801003,6.3
"27845",6,39,29,1,39029,3902901001,6.3
"27846",6,39,30,1,39030,3903001001,6.7
"27847",6,39,30,2,39030,3903001002,5.9
"27848",6,39,31,1,39031,3903101001,9
"27849",6,39,32,1,39032,3903201001,4.3
"27850",6,39,32,2,39032,3903201002,3
"27851",6,39,33,1,39033,3903301001,5.4
"27852",6,39,34,1,39034,3903401001,10.6
"27853",6,39,35,1,39035,3903501001,4.5
"27854",6,39,35,2,39035,3903501002,7.6
"27855",6,39,35,3,39035,3903501003,8.7
"27856",6,39,35,1,39035,3903502001,7.9
"27857",6,39,35,2,39035,3903502002,8.9
"27858",6,39,35,3,39035,3903502003,11.3
"27859",6,39,35,4,39035,3903502004,11.4
"27860",6,39,35,5,39035,3903502005,9.4
"27861",6,39,35,1,39035,3903503001,11.6
"27862",6,39,35,2,39035,3903503002,6.7
"27863",6,39,36,1,39036,3903601001,7.4
"27864",6,39,37,1,39037,3903701001,7.2
"27865",6,39,37,2,39037,3903701002,7.8
"27866",6,39,38,1,39038,3903801001,9.7
"27867",6,39,39,1,39039,3903901001,6.9
"27868",6,39,40,1,39040,3904001001,6.5
"27869",6,39,40,2,39040,3904001002,5.5
"27870",6,39,40,3,39040,3904001003,5.4
"27871",6,39,41,1,39041,3904101001,6.7
"27872",6,39,42,1,39042,3904201001,7.3
"27873",6,39,42,2,39042,3904201002,8.9
"27874",6,39,42,3,39042,3904201003,7.5
"27875",6,39,42,1,39042,3904202001,8.9
"27876",6,39,43,1,39043,3904301001,10.5
"27877",6,39,44,1,39044,3904401001,5.9
"27878",6,39,44,2,39044,3904401002,8.3
"27879",6,39,44,3,39044,3904401003,8.9
"27880",6,39,45,1,39045,3904501001,7.3
"27881",6,39,46,1,39046,3904601001,7.5
"27882",6,39,46,2,39046,3904601002,7.5
"27883",6,39,47,1,39047,3904701001,11
"27884",6,39,47,2,39047,3904701002,13.7
"27885",6,39,48,1,39048,3904801001,6.4
"27886",6,39,48,2,39048,3904801002,3.1
"27887",6,39,49,1,39049,3904901001,9.3
"27888",6,39,50,1,39050,3905001001,6.5
"27889",6,39,51,1,39051,3905101001,6.1
"27890",6,39,52,1,39052,3905201001,9.2
"27891",6,39,52,2,39052,3905201002,5.906770481
"27892",6,39,52,3,39052,3905201003,8.858563923
"27893",6,39,52,4,39052,3905201004,7.4
"27894",6,39,52,5,39052,3905201005,4
"27895",6,39,52,1,39052,3905202001,5.877528876
"27896",6,39,52,2,39052,3905202002,7.3
"27897",6,39,52,3,39052,3905202003,5.2
"27898",6,39,52,4,39052,3905202004,4.4
"27899",6,39,52,5,39052,3905202005,4
"27900",6,39,52,6,39052,3905202006,6.2
"27901",6,39,52,7,39052,3905202007,3.9
"27902",6,39,53,1,39053,3905301001,6.5
"27903",6,39,54,1,39054,3905401001,10.4
"27904",6,39,54,2,39054,3905401002,9.4
"27905",6,39,54,3,39054,3905401003,8.2
"27906",6,39,55,1,39055,3905501001,11.3
"27907",6,39,56,1,39056,3905601001,7.9
"27908",6,39,56,2,39056,3905601002,4.8
"27909",6,39,57,1,39057,3905701001,9.8
"27910",6,39,57,2,39057,3905701002,12.8
"27911",6,39,58,1,39058,3905801001,8.5
"27912",6,39,59,1,39059,3905901001,8.2
"27913",6,39,59,2,39059,3905901002,7.1
"27914",6,39,59,3,39059,3905901003,9.1
"27915",6,39,59,4,39059,3905901004,5.5
"27916",6,39,59,5,39059,3905901005,4.4
"27917",6,39,59,1,39059,3905902001,5.1
"27918",6,39,59,2,39059,3905902002,5.3
"27919",6,39,59,3,39059,3905902003,7.4
"27920",6,39,59,4,39059,3905902004,3.1
"27921",6,39,59,5,39059,3905902005,6.6
"27922",6,39,60,1,39060,3906001001,7.5
"27923",6,39,60,2,39060,3906001002,5
"27924",6,39,60,1,39060,3906002001,6.6
"27925",6,39,60,2,39060,3906002002,7.5
"27926",6,39,60,3,39060,3906002003,9
"27927",6,39,61,1,39061,3906101001,7.6
"27928",6,39,61,2,39061,3906101002,11.4
"27929",6,39,61,3,39061,3906101003,6.4
"27930",6,39,62,1,39062,3906201001,5.2
"27931",6,39,62,2,39062,3906201002,7.2
"27932",6,39,63,1,39063,3906301001,5.6
"27933",6,39,64,1,39064,3906401001,9.8
"27934",6,39,65,1,39065,3906501001,9
"27935",6,39,66,1,39066,3906601001,5.8
"27936",6,39,67,1,39067,3906701001,8.1
