"","ccaa","cpro","cmun","secc","CUMUN","CUSEC","Indice"
"27732",6,39,1,1,39001,3900101001,2.0044028826982
"27733",6,39,1,2,39001,3900101002,1.01862891528342
"27734",6,39,1,3,39001,3900101003,-0.0670852201571971
"27735",6,39,2,1,39002,3900201001,-0.591384168758509
"27736",6,39,2,2,39002,3900201002,0.507734936358289
"27737",6,39,2,3,39002,3900201003,-0.38517113452493
"27738",6,39,3,1,39003,3900301001,-0.789866590861427
"27739",6,39,4,1,39004,3900401001,1.07267597336855
"27740",6,39,4,2,39004,3900401002,1.06702415796241
"27741",6,39,5,1,39005,3900501001,-0.72695577659539
"27742",6,39,6,1,39006,3900601001,0.842602163667694
"27743",6,39,6,2,39006,3900601002,1.56002387055363
"27744",6,39,7,1,39007,3900701001,-0.274762197983179
"27745",6,39,8,1,39008,3900801001,0.539398633904638
"27746",6,39,8,2,39008,3900801002,0.595485609618121
"27747",6,39,8,3,39008,3900801003,-1.68160508524767
"27748",6,39,8,4,39008,3900801004,1.62476650469884
"27749",6,39,8,5,39008,3900801005,-1.06335190551517
"27750",6,39,8,6,39008,3900801006,0.0678253632207975
"27751",6,39,8,7,39008,3900801007,2.07948038648471
"27752",6,39,8,8,39008,3900801008,-1.55577969709611
"27753",6,39,8,1,39008,3900802001,-1.54661058594724
"27754",6,39,8,2,39008,3900802002,0.730022114277595
"27755",6,39,8,3,39008,3900802003,0.858498187165765
"27756",6,39,8,4,39008,3900802004,0.157958213294723
"27757",6,39,9,1,39009,3900901001,0.0274595300932769
"27758",6,39,9,2,39009,3900901002,-0.554556546240319
"27759",6,39,9,3,39009,3900901003,-0.018559345266056
"27760",6,39,10,1,39010,3901001001,-0.210221282361625
"27761",6,39,11,1,39011,3901101001,-0.408183743262062
"27762",6,39,12,1,39012,3901201001,2.22674294622209
"27763",6,39,12,2,39012,3901201002,0.108680016502992
"27764",6,39,12,3,39012,3901201003,0.169010216031716
"27765",6,39,12,4,39012,3901201004,0.591852835998085
"27766",6,39,12,1,39012,3901202001,0.256920118271494
"27767",6,39,12,2,39012,3901202002,-1.35041048835321
"27768",6,39,13,1,39013,3901301001,-3.1374612043201
"27769",6,39,14,1,39014,3901401001,0.115311179003986
"27770",6,39,15,1,39015,3901501001,-0.357544243015898
"27771",6,39,16,1,39016,3901601001,1.51870713735008
"27772",6,39,16,2,39016,3901601002,0.2259545747103
"27773",6,39,16,3,39016,3901601003,-0.742229155756043
"27774",6,39,16,4,39016,3901601004,-1.00979918566787
"27775",6,39,16,5,39016,3901601005,0.186090496645431
"27776",6,39,16,6,39016,3901601006,0.268384991130359
"27777",6,39,16,7,39016,3901601007,-2.45266306965301
"27778",6,39,16,8,39016,3901601008,0.667524309190323
"27779",6,39,16,9,39016,3901601009,1.48245716955782
"27780",6,39,16,10,39016,3901601010,-0.145420945834202
"27781",6,39,16,11,39016,3901601011,-1.73900721901194
"27782",6,39,16,12,39016,3901601012,-0.091326418153658
"27783",6,39,16,13,39016,3901601013,-2.05388641066607
"27784",6,39,16,14,39016,3901601014,-0.922664897420871
"27785",6,39,16,15,39016,3901601015,-0.239513610205882
"27786",6,39,16,1,39016,3901602001,-0.740499560178633
"27787",6,39,16,2,39016,3901602002,0.646147291237618
"27788",6,39,16,3,39016,3901602003,-0.506698501289119
"27789",6,39,16,1,39016,3901603001,-0.49144329238277
"27790",6,39,16,2,39016,3901603002,-0.65074299823486
"27791",6,39,16,3,39016,3901603003,-1.72109010484041
"27792",6,39,17,1,39017,3901701001,-0.596995118644128
"27793",6,39,18,1,39018,3901801001,-1.02681484718432
"27794",6,39,18,2,39018,3901801002,0.455580991191793
"27795",6,39,18,3,39018,3901801003,0.518955091490288
"27796",6,39,18,4,39018,3901801004,-0.0306982442362839
"27797",6,39,19,1,39019,3901901001,-0.100031906860574
"27798",6,39,20,1,39020,3902001001,1.23630969576933
"27799",6,39,20,2,39020,3902001002,-1.9184309028219
"27800",6,39,20,3,39020,3902001003,1.15503593111165
"27801",6,39,20,1,39020,3902002001,0.152945983116576
"27802",6,39,20,2,39020,3902002002,-0.192260783725309
"27803",6,39,20,3,39020,3902002003,-0.919800508897976
"27804",6,39,20,4,39020,3902002004,-0.54039698073731
"27805",6,39,20,5,39020,3902002005,0.708704451283203
"27806",6,39,20,6,39020,3902002006,-2.05408241917104
"27807",6,39,20,7,39020,3902002007,-1.17768857994728
"27808",6,39,20,8,39020,3902002008,-1.99228695398408
"27809",6,39,20,9,39020,3902002009,0.814112467560318
"27810",6,39,20,10,39020,3902002010,0.592400643590148
"27811",6,39,20,11,39020,3902002011,-3.8005119353298
"27812",6,39,20,12,39020,3902002012,-2.55733386299266
"27813",6,39,20,13,39020,3902002013,-1.01717421535744
"27814",6,39,20,1,39020,3902003001,-0.242037763799699
"27815",6,39,20,2,39020,3902003002,-1.06164910369651
"27816",6,39,20,3,39020,3902003003,-0.353350274238452
"27817",6,39,20,4,39020,3902003004,-0.162377059624471
"27818",6,39,20,5,39020,3902003005,-0.272238993078687
"27819",6,39,21,1,39021,3902101001,0.169975013265294
"27820",6,39,22,1,39022,3902201001,0.998147797847108
"27821",6,39,23,1,39023,3902301001,-0.404549012696643
"27822",6,39,23,2,39023,3902301002,0.0396886895149266
"27823",6,39,23,3,39023,3902301003,-0.106765449975809
"27824",6,39,23,4,39023,3902301004,-0.2760306364138
"27825",6,39,24,1,39024,3902401001,0.738879656779706
"27826",6,39,24,2,39024,3902401002,-0.688126327517129
"27827",6,39,25,1,39025,3902501001,-0.0857730212492101
"27828",6,39,25,2,39025,3902501002,1.49415952180538
"27829",6,39,25,3,39025,3902501003,1.01266397023334
"27830",6,39,25,4,39025,3902501004,-1.38362886494478
"27831",6,39,25,5,39025,3902501005,0.670184827643933
"27832",6,39,25,6,39025,3902501006,0.756614398784455
"27833",6,39,25,7,39025,3902501007,0.472165768385322
"27834",6,39,25,8,39025,3902501008,-0.400089938151624
"27835",6,39,25,1,39025,3902502001,0.822759643706094
"27836",6,39,26,1,39026,3902601001,2.14850715697852
"27837",6,39,26,2,39026,3902601002,-0.0385554240133384
"27838",6,39,27,1,39027,3902701001,0.357670935400216
"27839",6,39,27,2,39027,3902701002,0.909830998174947
"27840",6,39,27,3,39027,3902701003,0.455434253980049
"27841",6,39,27,4,39027,3902701004,-0.230501379564587
"27842",6,39,28,1,39028,3902801001,-0.537327286168377
"27843",6,39,28,2,39028,3902801002,-1.26621559581935
"27844",6,39,28,3,39028,3902801003,0.110707955853384
"27845",6,39,29,1,39029,3902901001,-0.567997862474585
"27846",6,39,30,1,39030,3903001001,0.203316587229464
"27847",6,39,30,2,39030,3903001002,-0.0307531303246317
"27848",6,39,31,1,39031,3903101001,-1.39009145721067
"27849",6,39,32,1,39032,3903201001,0.0599544963417203
"27850",6,39,32,2,39032,3903201002,-1.78528119657526
"27851",6,39,33,1,39033,3903301001,0.974958253050509
"27852",6,39,34,1,39034,3903401001,-0.852802172063095
"27853",6,39,35,1,39035,3903501001,1.53140645494431
"27854",6,39,35,2,39035,3903501002,1.40534109415399
"27855",6,39,35,3,39035,3903501003,1.58378321148025
"27856",6,39,35,1,39035,3903502001,1.38245711356308
"27857",6,39,35,2,39035,3903502002,-0.242901903145901
"27858",6,39,35,3,39035,3903502003,-0.395008294778986
"27859",6,39,35,4,39035,3903502004,1.24141640191563
"27860",6,39,35,5,39035,3903502005,-0.0637473401679673
"27861",6,39,35,1,39035,3903503001,0.195719002847477
"27862",6,39,35,2,39035,3903503002,1.38734323259029
"27863",6,39,36,1,39036,3903601001,0.154376008355462
"27864",6,39,37,1,39037,3903701001,0.447400119788229
"27865",6,39,37,2,39037,3903701002,0.244225557267446
"27866",6,39,38,1,39038,3903801001,-0.478996482214949
"27867",6,39,39,1,39039,3903901001,-0.593056298067346
"27868",6,39,40,1,39040,3904001001,-1.36440174234419
"27869",6,39,40,2,39040,3904001002,-1.73607935920678
"27870",6,39,40,3,39040,3904001003,0.327115577856306
"27871",6,39,41,1,39041,3904101001,-0.961087925209608
"27872",6,39,42,1,39042,3904201001,-1.02522536882361
"27873",6,39,42,2,39042,3904201002,-1.14059132962763
"27874",6,39,42,3,39042,3904201003,-0.0495217110304785
"27875",6,39,42,1,39042,3904202001,0.498523211526987
"27876",6,39,43,1,39043,3904301001,0.313849699037045
"27877",6,39,44,1,39044,3904401001,-1.68595106699682
"27878",6,39,44,2,39044,3904401002,0.749967606494923
"27879",6,39,44,3,39044,3904401003,-0.984375184383108
"27880",6,39,45,1,39045,3904501001,0.117154626379524
"27881",6,39,46,1,39046,3904601001,2.05487058699295
"27882",6,39,46,2,39046,3904601002,2.4447387440392
"27883",6,39,47,1,39047,3904701001,-0.00489931233855714
"27884",6,39,47,2,39047,3904701002,1.93625369123924
"27885",6,39,48,1,39048,3904801001,0.324961902463512
"27886",6,39,48,2,39048,3904801002,-1.20231113351547
