"","ccaa","cpro","cmun","secc","CUMUN","CUSEC","Indice"
"27732",6,39,1,1,39001,3900101001,1.15710786052576
"27733",6,39,1,2,39001,3900101002,0.243511865325469
"27734",6,39,1,3,39001,3900101003,0.506341513649211
"27735",6,39,2,1,39002,3900201001,-0.800314558869992
"27736",6,39,2,2,39002,3900201002,1.96309452147745
"27737",6,39,2,3,39002,3900201003,-0.363922468837906
"27738",6,39,3,1,39003,3900301001,2.47875721043149
"27739",6,39,4,1,39004,3900401001,2.07839572868499
"27740",6,39,4,2,39004,3900401002,1.19702597957781
"27741",6,39,5,1,39005,3900501001,-0.903027052374153
"27742",6,39,6,1,39006,3900601001,0.0798930145175379
"27743",6,39,6,2,39006,3900601002,0.908457531687622
"27744",6,39,7,1,39007,3900701001,2.20212090474494
"27745",6,39,8,1,39008,3900801001,-0.472728852487146
"27746",6,39,8,2,39008,3900801002,-0.949768423931881
"27747",6,39,8,3,39008,3900801003,-1.28699473516083
"27748",6,39,8,4,39008,3900801004,-1.01183950784526
"27749",6,39,8,5,39008,3900801005,-1.59528449578553
"27750",6,39,8,6,39008,3900801006,-1.02103906321858
"27751",6,39,8,7,39008,3900801007,-1.43645413476325
"27752",6,39,8,8,39008,3900801008,-1.6886340721593
"27753",6,39,8,1,39008,3900802001,-0.892480885890596
"27754",6,39,8,2,39008,3900802002,-0.638486895749019
"27755",6,39,8,3,39008,3900802003,-1.22552541727088
"27756",6,39,8,4,39008,3900802004,-0.832997825662445
"27757",6,39,9,1,39009,3900901001,-0.400134817288078
"27758",6,39,9,2,39009,3900901002,-1.11346234016987
"27759",6,39,9,3,39009,3900901003,-0.486823806256923
"27760",6,39,10,1,39010,3901001001,0.579834154098505
"27761",6,39,11,1,39011,3901101001,0.416782699367123
"27762",6,39,12,1,39012,3901201001,-0.206644066514614
"27763",6,39,12,2,39012,3901201002,0.181891689324957
"27764",6,39,12,3,39012,3901201003,-0.474251729552377
"27765",6,39,12,4,39012,3901201004,-0.785417001920703
"27766",6,39,12,1,39012,3901202001,-0.048435618323399
"27767",6,39,12,2,39012,3901202002,-0.0480115429175293
"27768",6,39,13,1,39013,3901301001,2.40456860836354
"27769",6,39,14,1,39014,3901401001,2.709609935178
"27770",6,39,15,1,39015,3901501001,0.934627889694456
"27771",6,39,16,1,39016,3901601001,0.204977430785144
"27772",6,39,16,2,39016,3901601002,-0.717053219398688
"27773",6,39,16,3,39016,3901601003,-1.51282495124579
"27774",6,39,16,4,39016,3901601004,-0.818566669576947
"27775",6,39,16,5,39016,3901601005,-0.61547330907377
"27776",6,39,16,6,39016,3901601006,-1.25130527162766
"27777",6,39,16,7,39016,3901601007,0.386863266797675
"27778",6,39,16,8,39016,3901601008,-0.88070983770622
"27779",6,39,16,9,39016,3901601009,-0.80389091634569
"27780",6,39,16,10,39016,3901601010,-0.740799221809288
"27781",6,39,16,11,39016,3901601011,1.00154957694406
"27782",6,39,16,12,39016,3901601012,-0.503905827733527
"27783",6,39,16,13,39016,3901601013,-1.62139647731485
"27784",6,39,16,14,39016,3901601014,-1.17538005751946
"27785",6,39,16,15,39016,3901601015,-0.963504157237878
"27786",6,39,16,1,39016,3901602001,-0.417162034514637
"27787",6,39,16,2,39016,3901602002,-1.20282038689683
"27788",6,39,16,3,39016,3901602003,-1.13394032182779
"27789",6,39,16,1,39016,3901603001,-0.444618612710006
"27790",6,39,16,2,39016,3901603002,-0.185067620866764
"27791",6,39,16,3,39016,3901603003,-0.395043467084782
"27792",6,39,17,1,39017,3901701001,2.49094342856604
"27793",6,39,18,1,39018,3901801001,-0.843890065138806
"27794",6,39,18,2,39018,3901801002,2.04810816058063
"27795",6,39,18,3,39018,3901801003,-1.31146703660469
"27796",6,39,18,4,39018,3901801004,-1.67187292581091
"27797",6,39,19,1,39019,3901901001,-0.855003211768819
"27798",6,39,20,1,39020,3902001001,0.5676769646082
"27799",6,39,20,2,39020,3902001002,-0.777517689042209
"27800",6,39,20,3,39020,3902001003,-0.997494621424342
"27801",6,39,20,1,39020,3902002001,-0.188885754351066
"27802",6,39,20,2,39020,3902002002,0.670330219366347
"27803",6,39,20,3,39020,3902002003,-1.55875961326527
"27804",6,39,20,4,39020,3902002004,-0.854064199780298
"27805",6,39,20,5,39020,3902002005,-1.23472282059365
"27806",6,39,20,6,39020,3902002006,-1.49571785031606
"27807",6,39,20,7,39020,3902002007,-1.28974548383251
"27808",6,39,20,8,39020,3902002008,-1.42325791361552
"27809",6,39,20,9,39020,3902002009,-1.37369132830517
"27810",6,39,20,10,39020,3902002010,-0.062166081703992
"27811",6,39,20,11,39020,3902002011,-0.619868919632503
"27812",6,39,20,12,39020,3902002012,-1.11637490291881
"27813",6,39,20,13,39020,3902002013,-0.467999085861133
"27814",6,39,20,1,39020,3902003001,0.362406917051093
"27815",6,39,20,2,39020,3902003002,-0.360788136199271
"27816",6,39,20,3,39020,3902003003,-0.331102278249687
"27817",6,39,20,4,39020,3902003004,0.0434388973384318
"27818",6,39,20,5,39020,3902003005,0.435851626655839
"27819",6,39,21,1,39021,3902101001,2.23745689483641
"27820",6,39,22,1,39022,3902201001,1.31729812855993
"27821",6,39,23,1,39023,3902301001,-1.10178499940604
"27822",6,39,23,2,39023,3902301002,-0.777581341634495
"27823",6,39,23,3,39023,3902301003,-1.11353525284193
"27824",6,39,23,4,39023,3902301004,0.242499036837656
"27825",6,39,24,1,39024,3902401001,-0.340664586925995
"27826",6,39,24,2,39024,3902401002,0.959650310938147
"27827",6,39,25,1,39025,3902501001,-1.39216002770865
"27828",6,39,25,2,39025,3902501002,-0.486746089918263
"27829",6,39,25,3,39025,3902501003,0.721881910483934
"27830",6,39,25,4,39025,3902501004,-0.938842679096471
"27831",6,39,25,5,39025,3902501005,-0.434488824567584
"27832",6,39,25,6,39025,3902501006,-0.661245480894625
"27833",6,39,25,7,39025,3902501007,-1.46235240025886
"27834",6,39,25,8,39025,3902501008,-0.860352248284413
"27835",6,39,25,1,39025,3902502001,1.11076280532694
"27836",6,39,26,1,39026,3902601001,-0.0867732773325704
"27837",6,39,26,2,39026,3902601002,1.053199987714
"27838",6,39,27,1,39027,3902701001,-0.522403038512815
"27839",6,39,27,2,39027,3902701002,1.95854630404545
"27840",6,39,27,3,39027,3902701003,-0.801261152522228
"27841",6,39,27,4,39027,3902701004,-0.535293518556982
"27842",6,39,28,1,39028,3902801001,-0.223934471810863
"27843",6,39,28,2,39028,3902801002,-0.560106156089055
"27844",6,39,28,3,39028,3902801003,-1.43703375687291
"27845",6,39,29,1,39029,3902901001,0.923664184262325
"27846",6,39,30,1,39030,3903001001,0.386398598220627
"27847",6,39,30,2,39030,3903001002,1.19601376185508
"27848",6,39,31,1,39031,3903101001,-0.293301531504695
"27849",6,39,32,1,39032,3903201001,4.09722117485879
"27850",6,39,32,2,39032,3903201002,1.91660699835596
"27851",6,39,33,1,39033,3903301001,1.45955159493842
"27852",6,39,34,1,39034,3903401001,2.67292268695881
"27853",6,39,35,1,39035,3903501001,0.0136098518872347
"27854",6,39,35,2,39035,3903501002,-0.283430085419978
"27855",6,39,35,3,39035,3903501003,0.403275042934568
"27856",6,39,35,1,39035,3903502001,-0.39447472533215
"27857",6,39,35,2,39035,3903502002,-0.971486846619268
"27858",6,39,35,3,39035,3903502003,-1.17812444469219
"27859",6,39,35,4,39035,3903502004,-0.876103377066242
"27860",6,39,35,5,39035,3903502005,-0.358682655795334
"27861",6,39,35,1,39035,3903503001,-0.406288571180491
"27862",6,39,35,2,39035,3903503002,-0.251103751067358
"27863",6,39,36,1,39036,3903601001,-0.0627791375294874
"27864",6,39,37,1,39037,3903701001,0.280554296814474
"27865",6,39,37,2,39037,3903701002,0.83961605248161
"27866",6,39,38,1,39038,3903801001,-0.598989094894285
"27867",6,39,39,1,39039,3903901001,4.49762056987385
"27868",6,39,40,1,39040,3904001001,-0.838736239719674
"27869",6,39,40,2,39040,3904001002,-0.505231382308331
"27870",6,39,40,3,39040,3904001003,0.126828218681289
"27871",6,39,41,1,39041,3904101001,1.39145624122062
"27872",6,39,42,1,39042,3904201001,-0.750977694329807
"27873",6,39,42,2,39042,3904201002,0.403447269010734
"27874",6,39,42,3,39042,3904201003,-1.08837632716075
"27875",6,39,42,1,39042,3904202001,0.0182070703411656
"27876",6,39,43,1,39043,3904301001,-0.508651227331979
"27877",6,39,44,1,39044,3904401001,0.179076818104093
"27878",6,39,44,2,39044,3904401002,0.454602626582639
"27879",6,39,44,3,39044,3904401003,0.167952364368435
"27880",6,39,45,1,39045,3904501001,3.29241708938119
"27881",6,39,46,1,39046,3904601001,3.31347676466402
"27882",6,39,46,2,39046,3904601002,1.26872239636699
"27883",6,39,47,1,39047,3904701001,-0.471099326605432
"27884",6,39,47,2,39047,3904701002,-1.27420355116037
"27885",6,39,48,1,39048,3904801001,0.269634605495139
"27886",6,39,48,2,39048,3904801002,-0.657901310404646
"27887",6,39,49,1,39049,3904901001,3.9752993683246
"27888",6,39,50,1,39050,3905001001,2.73829422481484
"27889",6,39,51,1,39051,3905101001,1.14776248684782
"27890",6,39,52,1,39052,3905201001,-1.08437206981397
"27891",6,39,52,2,39052,3905201002,-0.0681368680592918
"27892",6,39,52,3,39052,3905201003,-0.32435235846934
"27893",6,39,52,4,39052,3905201004,-0.624658642999367
"27894",6,39,52,5,39052,3905201005,-1.08207602720399
"27895",6,39,52,1,39052,3905202001,-0.918856530233972
"27896",6,39,52,2,39052,3905202002,-1.19936004809823
"27897",6,39,52,3,39052,3905202003,-1.06738485446515
"27898",6,39,52,4,39052,3905202004,-1.0089243923853
"27899",6,39,52,5,39052,3905202005,-0.620838838915889
"27900",6,39,52,6,39052,3905202006,-1.06573238661085
"27901",6,39,52,7,39052,3905202007,-1.07726397101723
"27902",6,39,53,1,39053,3905301001,3.27905340366709
"27903",6,39,54,1,39054,3905401001,-0.407306796677952
"27904",6,39,54,2,39054,3905401002,-0.652379332636658
"27905",6,39,54,3,39054,3905401003,-0.590932904589098
"27906",6,39,55,1,39055,3905501001,-0.10750917552463
"27907",6,39,56,1,39056,3905601001,2.54767398582996
"27908",6,39,56,2,39056,3905601002,0.000865809575329973
"27909",6,39,57,1,39057,3905701001,-0.629392838535403
"27910",6,39,57,2,39057,3905701002,0.219480325014731
"27911",6,39,58,1,39058,3905801001,0.0428925576780273
"27912",6,39,59,1,39059,3905901001,2.50108276637366
"27913",6,39,59,2,39059,3905901002,-0.705656972605771
"27914",6,39,59,3,39059,3905901003,-0.712222565989872
"27915",6,39,59,4,39059,3905901004,-0.936577867177347
"27916",6,39,59,5,39059,3905901005,-1.01338638881775
"27917",6,39,59,1,39059,3905902001,-1.25157626325121
"27918",6,39,59,2,39059,3905902002,-0.945329310602434
"27919",6,39,59,3,39059,3905902003,0.294758646505816
"27920",6,39,59,4,39059,3905902004,0.716700567824414
"27921",6,39,59,5,39059,3905902005,-1.28013296553796
